cbsa,cluster,from_year,to_year,from_center_gisjoin,to_center_gisjoin,from_area_black_population,to_area_black_population,mass_change,mass_change_fraction,mass_stable,from_spread,to_spread,spread_change_edges,spread_change_fraction,diffusion,change_type
16980,austin,1980,1990,G17003102908,G17003102315,298687,262376,-36311,-0.12156873248584639,False,4.4119965047022465,4.085861511723634,-0.3261349929786128,-0.07392004790371491,False,concentration
16980,austin,1990,2000,G17003102315,G17031251800,262376,251717,-10659,-0.04062490471689484,True,4.085861511723634,4.265774659637609,0.17991314791397528,0.04403309984877053,False,diffusion_with_no_mass_change
16980,austin,2000,2010,G17031251800,G17031831400,251717,198591,-53126,-0.2110544778461526,False,4.265774659637609,3.2473475635854596,-1.0184270960521493,-0.23874376339857295,False,concentration
16980,austin,2010,2020,G17031831400,G17031831400,198591,170251,-28340,-0.14270535925595823,False,3.2473475635854596,3.163117984622704,-0.08422957896275562,-0.02593796238729559,False,concentration
16980,hyde_park,1980,1990,G17003106912,G17003106915,904336,863030,-41306,-0.04567550114116877,True,6.282514463650679,6.898462394123031,0.6159479304723527,0.09804162553641528,False,diffusion_with_no_mass_change
16980,hyde_park,1990,2000,G17003106915,G17031510400,863030,917256,54226,0.06283211475846726,False,6.898462394123031,6.123388672300862,-0.775073721822169,-0.1123545621532232,False,concentration
16980,hyde_park,2000,2010,G17031510400,G17031838800,917256,847679,-69577,-0.07585341496812231,False,6.123388672300862,6.162859997711398,0.03947132541053566,0.006445993799002851,False,diffusion_with_mass_loss
16980,hyde_park,2010,2020,G17031838800,G17031838800,847679,784912,-62767,-0.07404571777760213,False,6.162859997711398,6.124982163605601,-0.037877834105796815,-0.006146145477888982,False,concentration
37980,germantown_west,1980,1990,G42010100205,G42010100280,358231,349150,-9081,-0.025349564945523977,True,3.6113122538250457,3.636789345553487,0.02547709172844126,0.007054801672565511,False,diffusion_with_no_mass_change
37980,germantown_west,1990,2000,G42010100280,G42101028000,349150,349984,834,0.0023886581698410424,True,3.636789345553487,3.839421230684831,0.202631885131344,0.055717245591662176,False,diffusion_with_no_mass_change
37980,germantown_west,2000,2010,G42101028000,G42101028300,349984,342809,-7175,-0.020500937185699918,True,3.839421230684831,4.236516544198081,0.3970953135132502,0.10342582635623469,False,diffusion_with_no_mass_change
37980,germantown_west,2010,2020,G42101028300,G42101028300,342809,318904,-23905,-0.06973270830112395,False,4.236516544198081,4.3556901136392145,0.11917356944113333,0.028130084751903494,False,diffusion_with_mass_loss
37980,west_philadelphia,1980,1990,G42010100085,G42010100081,218216,224436,6220,0.028503867727389377,True,2.6928227077757816,2.7822274501416886,0.08940474236590701,0.033201124644315544,False,diffusion_with_no_mass_change
37980,west_philadelphia,1990,2000,G42010100081,G42101008200,224436,270934,46498,0.2071771017127377,False,2.7822274501416886,3.2969210213557547,0.5146935712140661,0.18499334811316548,False,expansion_with_mass_growth
37980,west_philadelphia,2000,2010,G42101008200,G42101008200,270934,284022,13088,0.04830696774860298,True,3.2969210213557547,3.2691305603087084,-0.0277904610470463,-0.008429216492307223,False,concentration
37980,west_philadelphia,2010,2020,G42101008200,G42101008200,284022,274880,-9142,-0.03218764743576202,True,3.2691305603087084,3.2339238940628636,-0.03520666624584479,-0.010769428016518305,False,concentration
