"model","term","standardized_coef","robust_se","t_value","p_value","conf_low","conf_high"
"controls","(Intercept)",0.152512211543273,0.00575471916541042,26.5021119466558,3.96484178072663e-80,0.141186862491706,0.163837560594839
"controls","total_x",0.0942835207635583,0.00717035028797987,13.1490815618328,2.04944593306828e-31,0.0801721944765208,0.108394847050596
"controls","edge_density",-0.0776736163523636,0.0332093806267329,-2.33890590208231,0.0200055554183121,-0.143030033681074,-0.0123171990236536
"controls","log_total_nodes",-0.065003557960233,0.0337332953346932,-1.92698511412194,0.0549384945994413,-0.13139104505453,0.00138392913406421
"controls_black_count_cv","(Intercept)",0.152512211543273,0.00432884323284025,35.2316319487518,1.01738806333428e-107,0.143992883067657,0.161031540018888
"controls_black_count_cv","total_x",0.114685027193646,0.00603971755392409,18.9884752340999,4.4003464767357e-53,0.10279863284435,0.126571421542942
"controls_black_count_cv","edge_density",-0.0272663379544409,0.0222283288453207,-1.22664812744934,0.220933005041767,-0.0710125363523513,0.0164798604434695
"controls_black_count_cv","log_total_nodes",-0.0225734713393111,0.0225581412162706,-1.00067958272331,0.317801842043263,-0.0669687530540133,0.021821810375391
"controls_black_count_cv","black_count_cv",0.0693439884569264,0.00641603065787472,10.8079266067435,3.69323790968476e-23,0.0567169955759232,0.0819709813379297
"controls_black_share_cv","(Intercept)",0.152512211543273,0.00482684167300187,31.5966882436447,1.10417757259834e-96,0.143012803156263,0.162011619930282
"controls_black_share_cv","total_x",0.115521369987108,0.0066872818635256,17.2747870277751,1.10282853197465e-46,0.102360544394673,0.128682195579542
"controls_black_share_cv","edge_density",-0.0479794773366199,0.0274273281930693,-1.74933106859253,0.0812737206850866,-0.10195750461019,0.00599854993695048
"controls_black_share_cv","log_total_nodes",-0.0463007337295838,0.0283704465394225,-1.63200581510926,0.103745231583367,-0.10213485385563,0.00953338639646211
"controls_black_share_cv","black_share_cv",0.0594612525618712,0.00770634606642279,7.71588143711181,1.86722382769041e-13,0.0442948697766149,0.0746276353471275
"controls_total_pop_cv","(Intercept)",0.152512211543273,0.00568186613343295,26.8419226996335,3.58716951014252e-81,0.141330082428971,0.163694340657574
"controls_total_pop_cv","total_x",0.0895863371957577,0.00716893665053683,12.4964609903547,4.77625286002524e-29,0.0754775966242661,0.103695077767249
"controls_total_pop_cv","edge_density",-0.0641107298446554,0.0320972036801262,-1.9973929967099,0.0467007149680748,-0.127279250068546,-0.000942209620764453
"controls_total_pop_cv","log_total_nodes",-0.0528130209263175,0.0326515600370732,-1.61747312735908,0.106844924316046,-0.117072535589912,0.0114464937372771
"controls_total_pop_cv","total_pop_cv",0.0192971461987902,0.00780736398431875,2.47165960720531,0.0140131768588211,0.00393195630082777,0.0346623360967526
"combined_simple","(Intercept)",0.152512211543273,0.00435336002760682,35.0332181524425,9.0496998023838e-107,0.143944392175764,0.161080030910781
"combined_simple","total_x",0.113058402272594,0.0064177492001756,17.6165192415902,7.15631775158585e-48,0.100427672090761,0.125689132454426
"combined_simple","edge_density",-0.0244886679869141,0.0223538563130703,-1.09550082294282,0.274196944978113,-0.0684831462389027,0.0195058102650745
"combined_simple","log_total_nodes",-0.0199271725873436,0.0226363424011216,-0.88031768711699,0.379408710876827,-0.0644776098597002,0.024623264685013
"combined_simple","black_count_cv",0.069150712954141,0.0098325942843321,7.03280446182248,1.43116016900331e-11,0.0497992485202506,0.0885021773880313
"combined_simple","black_share_cv",-0.00105470979102317,0.00793843317576077,-0.132861204178632,0.894394348074321,-0.016678288148806,0.0145688685667596
"combined_simple","total_pop_cv",0.00490133229899018,0.00578971971198412,0.846557785663602,0.397932536882669,-0.00649337715904022,0.0162960417570206
"controls_within_raw_products","(Intercept)",0.152512211543273,0.0056434459837892,27.0246604612437,1.47726787113503e-81,0.141405382452002,0.163619040634543
"controls_within_raw_products","total_x",0.0987148466101831,0.0149359389989959,6.60921597341951,1.82249074376278e-10,0.0693195228565743,0.128110170363792
"controls_within_raw_products","edge_density",-0.0867462548017275,0.0338365832341805,-2.56368245580125,0.0108557793979935,-0.153339812726109,-0.0201526968773456
"controls_within_raw_products","log_total_nodes",-0.0801693016799244,0.0361783000456034,-2.21594993625653,0.0274632575643136,-0.151371577128907,-0.00896702623094166
"controls_within_raw_products","within_xx",0.0378386365376695,0.0183098157649706,2.06657658511565,0.0396524875727059,0.00180320801078393,0.0738740650645551
"controls_within_raw_products","within_xy",-0.0474499081920131,0.0140945556155383,-3.36654162687492,0.00086281300936381,-0.075189310817442,-0.0197105055665843
"controls_within_raw_products","within_yy",0.0212507708225089,0.0080568288305469,2.63760981764166,0.00879506047053735,0.00539417875171524,0.0371073628933025
"combined_within_log_products","(Intercept)",0.152512211543273,0.00282871889025452,53.9156478463472,3.57209165770081e-153,0.146944789548339,0.158079633538207
"combined_within_log_products","total_x",0.0447377276937317,0.00729683929867264,6.13111045242149,2.84680115621507e-09,0.0303762498724852,0.0590992055149782
"combined_within_log_products","edge_density",-0.00266884146824536,0.0150422706637558,-0.177422779306578,0.859300173829497,-0.032274706100349,0.0269370231638583
"combined_within_log_products","log_total_nodes",0.00122790291586222,0.0157152498297119,0.0781344826946817,0.937774961035547,-0.0297025044354154,0.0321583102671398
"combined_within_log_products","black_count_cv",0.0200447543805589,0.0126968550412508,1.57871806171178,0.115490855717016,-0.00494491506545389,0.0450344238265717
"combined_within_log_products","black_share_cv",-0.0408690975967748,0.0145546615834489,-2.80797305814721,0.00532371006891795,-0.0695152608149334,-0.0122229343786162
"combined_within_log_products","total_pop_cv",0.0140341908222723,0.00336050996978214,4.17620865537325,3.92490757257179e-05,0.00742010937910779,0.0206482722654368
"combined_within_log_products","log_within_xx",0.37136559085418,0.0352222057119436,10.543507521684,3.24361199418164e-22,0.302042024109401,0.440689157598959
"combined_within_log_products","log_within_xy",-0.377465348645003,0.0404761035319346,-9.32563452772061,2.93537430329953e-18,-0.457129520949045,-0.297801176340962
"combined_within_log_products","log_within_yy",0.120887229249155,0.0166145794371116,7.27597287109969,3.23150301325359e-12,0.0881867812430132,0.153587677255297
"combined_within_shares","(Intercept)",0.152512211543273,0.00307539514499504,49.591094592015,1.13614058852491e-143,0.146459286796191,0.158565136290355
"combined_within_shares","total_x",0.0527899832101756,0.00667381267531755,7.91001872219372,5.45241993382286e-14,0.0396547326178867,0.0659252338024646
"combined_within_shares","edge_density",-0.0107763741472486,0.0133205517711505,-0.809003585766463,0.419176303364904,-0.0369935897111084,0.0154408414166113
"combined_within_shares","log_total_nodes",-0.0129830552292251,0.0140840000865839,-0.921830101491724,0.357383456397207,-0.0407028728925663,0.0147367624341162
"combined_within_shares","black_count_cv",0.132941115209573,0.0508183747638308,2.61600485705009,0.00936241133043592,0.0329215132683173,0.232960717150829
"combined_within_shares","black_share_cv",-0.0467075718162689,0.0139018352614725,-3.35981335829192,0.000884403218507698,-0.0740688566973239,-0.0193462869352139
"combined_within_shares","total_pop_cv",0.000242722056126786,0.00561428666596974,0.0432329288773255,0.965545607992633,-0.0108071928639005,0.0112926369761541
"combined_within_shares","within_xx_share_perm_mean",-0.0464701286410517,0.0517353852626925,-0.898227168988771,0.369809591667638,-0.148294570376936,0.0553543130948326
"combined_within_shares","within_xy_share_perm_mean",-0.0676742753340352,0.00763832847200955,-8.85982785134546,8.23548045770909e-17,-0.0827078645981041,-0.0526406860699664
"combined_within_shares","within_yy_share_perm_mean",0.0491176094494767,0.00705130065023894,6.96575169402432,2.19472627178979e-11,0.0352393953687898,0.0629958235301635
